Date,Type,Country,Activity,Sex ,Age,Injury,Fatal (Y/N),Species,Fatality,Country_value,Sex_value
18-May-21,Unprovoked,AUSTRALIA,Surfing,M,59,FATAL,Y,White shark,1.0,2.0,0.0
15-May-21,Unprovoked,USA,Kite Foiling,M,35,2- to 3-inch cuts to posterior thigh,N,Tiger shark,0.0,1.0,0.0
12-May-21,Provoked,BELIZE,Baiting sharks,M,57,Right hand bitten,N,Large shark,0.0,76.0,0.0
6-May-21,Unprovoked,USA,Wading,F,21,Nick on foot,N,,0.0,1.0,1.0
3-May-21,Unprovoked,USA,Surfing,M,14,Lacerations to shin and calf,N,Medium shark,0.0,1.0,0.0
1-May-21,Unprovoked,JAMAICA,Spearfishing,M,53,FATAL,Y,,1.0,24.0,0.0
30-Apr-21,Unprovoked,USA,Surfing,F,64,Foot bitten,N,,0.0,1.0,1.0
29-Apr-21,Unprovoked,USA,Boggie boarding,M,54,Right leg bitten,N,,0.0,1.0,0.0
24-Apr-21,Unprovoked,FRENCH POLYNESIA,Canoeing,M,25,"No injury, canoe bitten",N,,0.0,19.0,0.0
24-Apr-21,Unprovoked,NEW CALEDONIA,Stand Up Paddleboarding,M,53,FATAL,Y,,1.0,10.0,0.0
20-Apr-21,Unprovoked,USA,Swimming,F,57,Puncture wound to knee,N,Tiger shark,0.0,1.0,1.0
19-Apr-21,Unprovoked,AUSTRALIA,,M,,Laceration to foot,N,,0.0,2.0,0.0
17-Apr-21,Provoked,USA,Tagging sharks,,,"No injury to occupants, shark bit boat after being tagged",N,Mako shark,0.0,1.0,
14-Apr-21,Unprovoked,SOUTH AFRICA,Spearfishing,M,38,Minor injury to head,N,Small shark,0.0,3.0,0.0
13-Apr-21,Unprovoked,SOUTH AFRICA,Body boarding,M,38,FATAL,Y,White shark,1.0,3.0,0.0
2-Apr-21,Unprovoked,USA,Swimming,M,36,1-inch cut to leg,N,,0.0,1.0,0.0
30-Mar-21,Unprovoked,USA,,M,,Cuts to both feet,N,,0.0,1.0,0.0
27-Mar-21,Unprovoked,AUSTRALIA,Spearfishing,M,27,Injury to calf,N,Small shark,0.0,2.0,0.0
26-Mar-21,Unprovoked,FRENCH POLYNESIA,Swimming,M,10,,N,,0.0,19.0,0.0
25-Mar-21,Unprovoked,USA,,F,16,"Injuries to hands, arm and knees",N,Small shark,0.0,1.0,1.0
25-Mar-21,Unprovoked,USA,Swimming,M,7,Lacerations to right hand,N,,0.0,1.0,0.0
21-Mar-21,Unprovoked,USA,Body surfing,M,9,Left shoulder bitten,N,,0.0,1.0,0.0
20-Mar-21,Unprovoked,AUSTRALIA,Paddle boarding,M,75,"No injury, board bitten",N,Blacktip shark,0.0,2.0,0.0
18-Mar-21,Unprovoked,USA,Wading,M,20,Left forearm bitten,N,Blacktip shark,0.0,1.0,0.0
2-Mar-21,Unprovoked,NEW CALEDONIA,Spearfishing,M,16,Left leg bitten,N,Tiger shark,0.0,10.0,0.0
28-Feb-21,Unprovoked,NEW CALEDONIA,Swimming,M,57,Right leg bitten but death due to heart attack,Y,Tiger shark,1.0,10.0,0.0
20-Feb-21,Provoked,AUSTRALIA,Fishing,M,,Superficial wound       PROVOKED INCIDENT,N,Bull shark,0.0,2.0,0.0
6-Feb-21,Unprovoked,USA,Surfing,M,,"No injury, surfboard bitten",N,,0.0,1.0,0.0
2-Feb-21,Watercraft,AUSTRALIA,Surf skiing ,M,17,"No injury, surf ski bitten",N,Bronze whaler shark,0.0,2.0,0.0
2-Feb-21,Watercraft,USA,Kayaking,M,45 and 15,"No injury, kayak bitten",N,White shark,0.0,1.0,0.0
29-Jan-21,Unprovoked,AUSTRALIA,Swimming,F,46,Puncture wounds to foot,N,,0.0,2.0,1.0
27-Jan-21,Unprovoked,NEW ZEALAND,Swimming,M,61,Minor puncture wound to arm,N,Small shark,0.0,5.0,0.0
23-Jan-21,Unprovoked,AUSTRALIA,Swimming,M,58,Severe lacerations to left arm ,N,,0.0,2.0,0.0
22-Jan-21,Watercraft,USA,Fishing,,,No injury to occupants,N,White shark,0.0,1.0,
22-Jan-21,Unprovoked,USA,Snorkeling,M,73,Puncture wounds to left calf,N,Large shark,0.0,1.0,0.0
21-Jan-21,Unprovoked,AUSTRALIA,Snorkeling,M,32,FATAL,Y,White shark,1.0,2.0,0.0
13-Jan-21,Unprovoked,BRAZIL,Surfing,M,52,Puncture wounds to right hand,N,,0.0,7.0,0.0
13-Jan-21,Unprovoked,AUSTRALIA,Swimming,M,54,Severe injury to leg and broken him,N,Bull shark,0.0,2.0,0.0
